sample,pop,cluster1,cluster2,cluster3,cluster4
94,TER-South-Shallow,0.19813936,0.00139478,0.302429048,0.498036813
95,TER-South-Shallow,0.07575527,0.010903847,0.118017244,0.79532364
96,TER-South-Shallow,0.123976649,5.89E-09,0.177763886,0.698259459
97,TER-South-Shallow,0.99665875,1.00E-09,1.00E-09,0.003341248
98,TER-South-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
99,TER-South-Shallow,0.033885314,1.00E-09,1.00E-09,0.966114684
100,TER-South-Shallow,0.147310158,1.00E-09,0.131247958,0.721441883
101,TER-South-Shallow,0.005233634,1.00E-09,1.00E-09,0.994766364
102,TER-South-Shallow,0.575958972,1.00E-09,0.048583442,0.375457585
103,TER-South-Shallow,0.155586033,0.038738502,0.169112934,0.636562531
104,TER-South-Shallow,0.927103014,1.00E-09,1.00E-09,0.072896984
105,TER-South-Shallow,0.141446996,0.007136152,0.170542709,0.680874143
106,TER-South-Shallow,0.045306094,1.00E-09,1.00E-09,0.954693904
107,TER-South-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
108,TER-South-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
109,TER-South-Mesophotic,1.00E-09,0.021796211,0.978203787,1.00E-09
110,TER-South-Mesophotic,1.00E-09,0.029066497,0.970933501,1.00E-09
111,TER-South-Mesophotic,0.945163083,0.041205666,0.000000001,0.013631251
112,TER-South-Mesophotic,0.003760529,0.05550797,0.919633922,0.021097579
113,TER-South-Mesophotic,1.00E-09,0.001734123,0.998265875,1.00E-09
114,TER-South-Mesophotic,0.865779131,0.11506851,1.00E-09,0.019152358
115,TER-South-Mesophotic,1.15E-08,0.113822499,0.755774995,0.130402495
116,TER-South-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
117,TER-South-Mesophotic,0.818361596,0.11698493,0.049409415,0.01524406
118,TER-South-Shallow,0.072197331,1.00E-09,1.00E-09,0.927802667
119,TER-South-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
120,TER-South-Shallow,0.194048855,0.000000001,0.144155866,0.661795278
121,TER-South-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
122,TER-South-Mesophotic,1.00E-09,0.000165016,0.999834982,1.00E-09
123,TER-South-Mesophotic,0.173644265,0.042618786,0.783395062,0.000341887
124,TER-South-Mesophotic,1.00E-09,0.040660269,0.959339729,1.00E-09
125,TER-South-Mesophotic,1.00E-09,0.07635534,0.923644658,1.00E-09
126,TER-South-Mesophotic,1.00E-09,0.065056976,0.934943,2.32E-08
127,TER-South-Mesophotic,1.00E-09,0.084109763,0.915890235,1.00E-09
128,Lower Keys-Shallow,0.015847032,1.00E-09,1.00E-09,0.984152966
129,Lower Keys-Shallow,0.182624773,0.001644515,0.15008121,0.665649502
130,Lower Keys-Shallow,0.010456518,1.00E-09,1.00E-09,0.98954348
131,Lower Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
132,Lower Keys-Shallow,0.161916864,0.000000001,0.119978904,0.718104231
133,Lower Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
134,Lower Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
135,Lower Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
136,Lower Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
137,Lower Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
138,Lower Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
139,Lower Keys-Shallow,0.962362194,1.00E-09,1.00E-09,0.037637804
140,Lower Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
141,Lower Keys-Shallow,0.152626721,0.000000001,0.136465103,0.710908174
142,Lower Keys-Shallow,0.063899973,3.97E-09,0.000000001,0.936100022
143,Lower Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
144,Lower Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
145,Lower Keys-Shallow,0.00045546,0.100532872,0.88631435,0.012697319
146,Lower Keys-Shallow,0.881333632,1.00E-09,1.00E-09,0.118666366
147,Lower Keys-Shallow,1.00E-09,0.006250712,0.917423515,0.076325772
148,Lower Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
149,Lower Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
150,Lower Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
151,Lower Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
152,Lower Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
153,Lower Keys-Shallow,0.064453812,0.051777808,0.20671856,0.67704982
154,Lower Keys-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
155,Lower Keys-Shallow,3.83E-06,1.00E-09,1.00E-09,0.999996172
156,Lower Keys-Shallow,1.00E-09,0.864252873,0.135747125,1.00E-09
157,Lower Keys-Mesophotic,0.721504209,0.190835917,0.087659873,1.00E-09
158,Lower Keys-Mesophotic,1.00E-09,0.001063526,0.998936472,1.00E-09
159,Lower Keys-Mesophotic,1.00E-09,0.018179383,0.981820615,1.00E-09
160,Lower Keys-Mesophotic,1.00E-09,7.99E-05,0.999920054,1.00E-09
161,Lower Keys-Mesophotic,1.00E-09,0.005393191,0.994606807,1.00E-09
162,Lower Keys-Mesophotic,0.000594054,0.024653226,0.974752719,1.00E-09
163,Lower Keys-Mesophotic,0.024207369,0.182309209,0.714561504,0.078921918
164,Lower Keys-Mesophotic,1.00E-09,1.00E-09,0.999999997,1.00E-09
165,Lower Keys-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
166,Lower Keys-Mesophotic,1.00E-09,0.054633541,0.945366457,1.00E-09
167,Lower Keys-Mesophotic,0.741364307,0.257724243,0.000911449,1.00E-09
168,Lower Keys-Mesophotic,1.00E-09,0.047759268,0.95224073,1.00E-09
169,Lower Keys-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
170,Lower Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
171,Upper Keys-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
172,Upper Keys-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
173,Upper Keys-Mesophotic,5.43E-05,0.068719503,0.910038915,0.02118728
174,Upper Keys-Mesophotic,1.00E-09,0.086812317,0.913187681,1.00E-09
175,Upper Keys-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
176,Upper Keys-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
177,Upper Keys-Mesophotic,1.00E-09,0.089024103,0.910975895,1.00E-09
178,Upper Keys-Mesophotic,1.00E-09,1.00E-09,1.00E-09,0.999999997
179,Upper Keys-Shallow,0.018571049,0.095867696,0.885561254,0.000000001
180,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
181,Upper Keys-Shallow,6.97E-09,0.024941466,0.975048412,1.01E-05
182,Upper Keys-Shallow,1.00E-09,0.062429245,0.937570753,1.00E-09
183,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
184,Upper Keys-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
185,Upper Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
186,Upper Keys-Shallow,1.00E-09,0.033980898,0.9660191,1.00E-09
187,Upper Keys-Mesophotic,0.005042097,0.034397766,0.943037961,0.017522176
188,Upper Keys-Mesophotic,1.00E-09,0.052987553,0.947012445,1.00E-09
189,Upper Keys-Mesophotic,1.00E-09,1.00E-09,1.00E-09,0.999999997
190,Upper Keys-Mesophotic,0.015882643,0.053707398,0.859854669,0.07055529
191,Upper Keys-Mesophotic,1.00E-09,0.082563082,0.917436916,1.00E-09
192,Upper Keys-Mesophotic,1.00E-09,1.00E-09,0.999999997,1.00E-09
193,Upper Keys-Mesophotic,3.01E-06,0.022490914,0.977506072,0.000000001
