sample,pop,cluster1,cluster2,cluster3
117,TER-South-Mesophotic,0.82119395,0.014727516,0.164078535
118,TER-South-Shallow,0.071246386,0.928753613,1E-09
119,TER-South-Shallow,0.999999998,1E-09,1E-09
120,TER-South-Shallow,0.193975031,0.683680391,0.122344578
121,TER-South-Shallow,1E-09,0.999999998,1E-09
122,TER-South-Mesophotic,0.039390391,0.000000001,0.960609608
123,TER-South-Mesophotic,0.190551855,0.036043275,0.77340487
124,TER-South-Mesophotic,0.020809526,0.025226952,0.953963523
125,TER-South-Mesophotic,0.005900261,0.030333554,0.963766185
126,TER-South-Mesophotic,1.66275E-07,0.050873801,0.949126033
127,TER-South-Mesophotic,1.24273E-08,0.00057507,0.999424917
128,Lower Keys-Shallow,0.015440104,0.984559895,1E-09
129,Lower Keys-Shallow,0.182565637,0.683800643,0.13363372
130,Lower Keys-Shallow,0.01023945,0.989760549,1E-09
131,Lower Keys-Shallow,6.17683E-06,0.999993822,1E-09
132,Lower Keys-Shallow,0.160752543,0.73957957,0.099667887
133,Lower Keys-Shallow,0.999999998,1E-09,1E-09
134,Lower Keys-Shallow,0.999999998,1E-09,1E-09
135,Lower Keys-Shallow,1E-09,0.999999998,1E-09
136,Lower Keys-Shallow,1E-09,0.999999998,1E-09
137,Lower Keys-Shallow,1.71208E-05,0.999982878,1E-09
138,Lower Keys-Shallow,0.999998435,1.56411E-06,1E-09
139,Lower Keys-Shallow,0.963899773,0.036100226,1E-09
140,Lower Keys-Shallow,1E-09,0.999999998,1E-09
141,Lower Keys-Shallow,0.152207497,0.736589211,0.111203292
142,Lower Keys-Shallow,0.063065605,0.936933887,5.07608E-07
143,Lower Keys-Shallow,0.999999998,1E-09,1E-09
144,Lower Keys-Shallow,1.19449E-05,0.999988054,1E-09
145,Lower Keys-Shallow,0.02096576,0.045208302,0.933825938
146,Lower Keys-Shallow,0.881347002,0.118652997,1E-09
147,Lower Keys-Shallow,0.00071426,0.111267652,0.888018088
148,Lower Keys-Shallow,0.999999998,1E-09,1E-09
149,Lower Keys-Shallow,7.15487E-06,0.999992844,1E-09
150,Lower Keys-Shallow,1E-09,0.999999998,1E-09
151,Lower Keys-Shallow,0.999999998,1E-09,1E-09
152,Lower Keys-Shallow,1E-09,0.999999998,1E-09
153,Lower Keys-Shallow,0.068809803,0.681357716,0.249832481
154,Lower Keys-Shallow,0.999999998,1E-09,1E-09
155,Lower Keys-Shallow,0.000901349,0.99909865,1E-09
156,Lower Keys-Shallow,1E-09,1E-09,0.999999998
157,Lower Keys-Mesophotic,0.720622007,1E-09,0.279377992
158,Lower Keys-Mesophotic,0.01712542,0.000000001,0.982874579
159,Lower Keys-Mesophotic,0.023334843,0.000000001,0.976665156
160,Lower Keys-Mesophotic,0.038489036,0.000253469,0.961257495
161,Lower Keys-Mesophotic,0.014520264,0.023101254,0.962378482
162,Lower Keys-Mesophotic,0.031065308,0.0196493,0.949285392
163,Lower Keys-Mesophotic,0.03506372,0.098188439,0.866747841
164,Lower Keys-Mesophotic,0.024339556,7.53541E-06,0.975652909
165,Lower Keys-Mesophotic,0.999999998,1E-09,1E-09
166,Lower Keys-Mesophotic,0.017178743,0.022526275,0.960294981
167,Lower Keys-Mesophotic,0.731594319,1E-09,0.26840568
168,Lower Keys-Mesophotic,0.022343949,5.03048E-07,0.977655548
169,Lower Keys-Mesophotic,1E-09,1E-09,0.999999998
170,Lower Keys-Shallow,1E-09,0.999999998,1E-09
171,Upper Keys-Mesophotic,1E-09,1E-09,0.999999998
172,Upper Keys-Mesophotic,1E-09,1E-09,0.999999998
173,Upper Keys-Mesophotic,0.023479963,0.052517135,0.924002902
174,Upper Keys-Mesophotic,0.029764199,0.014533127,0.955702675
175,Upper Keys-Mesophotic,1E-09,1E-09,0.999999998
176,Upper Keys-Mesophotic,1E-09,1E-09,0.999999998
177,Upper Keys-Mesophotic,0.02077033,0.015865361,0.963364308
178,Upper Keys-Mesophotic,1E-09,0.999999998,1E-09
179,Upper Keys-Shallow,0.03935589,0.020103126,0.940540984
180,Upper Keys-Shallow,1E-09,1E-09,0.999999998
181,Upper Keys-Shallow,0.027907912,0.036529944,0.935562144
182,Upper Keys-Shallow,0.000672186,0.031781046,0.967546768
183,Upper Keys-Shallow,1E-09,1E-09,0.999999998
184,Upper Keys-Shallow,1E-09,0.999999998,1E-09
185,Upper Keys-Shallow,1E-09,1E-09,0.999999998
186,Upper Keys-Shallow,0.021433652,0.020221253,0.958345094
187,Upper Keys-Mesophotic,0.029141611,0.053652163,0.917206227
