sample,fracZ,depth,site,depthZone
156,0.45424,18.605,Lower Keys,Shallow
157,0.88869,32.635,Lower Keys,Mesophotic
158,0.73689,32.635,Lower Keys,Mesophotic
159,0.78429,32.025,Lower Keys,Mesophotic
160,0.80384,32.33,Lower Keys,Mesophotic
161,0.75128,31.11,Lower Keys,Mesophotic
162,0.60628,31.11,Lower Keys,Mesophotic
163,0.58365,30.805,Lower Keys,Mesophotic
164,0.88351,30.195,Lower Keys,Mesophotic
165,0.85063,31.11,Lower Keys,Mesophotic
166,0.56047,30.5,Lower Keys,Mesophotic
167,0.41819,31.11,Lower Keys,Mesophotic
168,0.67162,31.11,Lower Keys,Mesophotic
169,0.28413,31.11,Lower Keys,Mesophotic
170,0.25431,17.995,Lower Keys,Shallow
171,0.53648,35.685,Upper Keys,Mesophotic
172,0.44588,35.38,Upper Keys,Mesophotic
173,0.72727,35.38,Upper Keys,Mesophotic
174,0.73959,35.685,Upper Keys,Mesophotic
175,0.28193,35.38,Upper Keys,Mesophotic
176,0.68007,35.38,Upper Keys,Mesophotic
177,0.54428,34.465,Upper Keys,Mesophotic
178,0.70511,35.075,Upper Keys,Mesophotic
179,0.47668,22.875,Upper Keys,Shallow
180,0.78499,20.74,Upper Keys,Shallow
181,0.80874,20.13,Upper Keys,Shallow
182,0.71988,20.435,Upper Keys,Shallow
183,0.61702,20.74,Upper Keys,Shallow
184,0.84233,21.045,Upper Keys,Shallow
185,0.27196,20.74,Upper Keys,Shallow
186,0.5026,21.045,Upper Keys,Shallow
187,0.65625,43.31,Upper Keys,Mesophotic
188,0.62856,43.31,Upper Keys,Mesophotic
189,0.71025,43.31,Upper Keys,Mesophotic
190,0.64418,43.31,Upper Keys,Mesophotic
191,0.75648,43.005,Upper Keys,Mesophotic
192,0.58363,43.005,Upper Keys,Mesophotic
193,0.78745,43.31,Upper Keys,Mesophotic
194,0.88161,18.91,Upper Keys,Shallow
195,0.86692,19.215,Upper Keys,Shallow
196,0.84303,18.605,Upper Keys,Shallow
198,0.43535,18.3,Upper Keys,Shallow
199,0.90257,18.605,Upper Keys,Shallow
200,0.60442,17.995,Upper Keys,Shallow
201,0.39048,42.7,Upper Keys,Mesophotic
202,0.4871,43.005,Upper Keys,Mesophotic
205,0.46099,40.87,Upper Keys,Mesophotic
208,0.66152,40.87,Upper Keys,Mesophotic
209,0.37389,41.785,Upper Keys,Mesophotic
211,0.49783,43.615,Upper Keys,Mesophotic
212,0.67651,43.31,Upper Keys,Mesophotic
214,0.6531,43.615,Upper Keys,Mesophotic
216,0.1672,44.225,Upper Keys,Mesophotic
217,0.42174,45.14,Upper Keys,Mesophotic
218,0.40807,27.45,Upper Keys,Shallow
219,0.36584,27.45,Upper Keys,Shallow
220,0.40468,25.01,Upper Keys,Shallow
221,0.41723,24.705,Upper Keys,Shallow
222,0.58793,27.755,Upper Keys,Shallow
223,0.63435,27.145,Upper Keys,Shallow
224,0.74848,25.925,Upper Keys,Shallow
225,0.70581,26.23,Upper Keys,Shallow
226,0.60395,24.4,Upper Keys,Shallow
227,0.51632,25.925,Upper Keys,Shallow
228,0.42445,26.535,Upper Keys,Shallow
229,0.56404,25.925,Upper Keys,Shallow
230,0.59261,26.23,Upper Keys,Shallow
231,0.73723,26.23,Upper Keys,Shallow
232,0.69352,28.365,Upper Keys,Shallow
233,0.46361,27.45,Upper Keys,Shallow
234,0.66275,27.145,Upper Keys,Shallow
235,0.64272,26.84,Upper Keys,Shallow
236,0.52465,26.535,Upper Keys,Shallow
237,0.59871,26,Upper Keys,Shallow
