sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
233.trim.bt2.sam	186	0	0	1409	1	2034	0	0	1755	3	0.46361	0	0	0.998	0.002
234.trim.bt2.sam	239	0	29	5109	2	4396	0	29	8604	6	0.66275	0	0.003	0.996	0.001
235.trim.bt2.sam	286	0	3	7401	4	8518	0	10	15302	11	0.64272	0	0.001	0.999	0.001
236.trim.bt2.sam	299	0	3	4455	2	6835	0	5	7536	3	0.52465	0	0.001	0.999	0
237.trim.bt2.sam	253	0	3	5155	2	5960	0	4	8882	6	0.59871	0	0	0.999	0.001
24.trim.bt2.sam	438	0	2	2775	2	17182	0	2	3976	3	0.18811	0	0.001	0.999	0.001
26.trim.bt2.sam	155	0	0	532	0	1165	0	0	565	0	0.32659	0	0	1	0
27.trim.bt2.sam	204	0	1	1338	1	3789	0	1	1583	1	0.29494	0	0.001	0.999	0.001
28.trim.bt2.sam	215	0	0	562	0	2713	0	0	610	0	0.18357	0	0	1	0
29.trim.bt2.sam	256	1	1	3626	3	5588	1	2	5196	7	0.4823	0	0	0.998	0.001
30.trim.bt2.sam	260	0	2	6259	3	5378	0	6	12699	8	0.70273	0	0	0.999	0.001
31.trim.bt2.sam	241	0	2	2251	2	3918	0	4	2718	2	0.41012	0	0.001	0.998	0.001
32.trim.bt2.sam	219	0	2	1641	0	3214	0	2	1920	0	0.37422	0	0.001	0.999	0
33.trim.bt2.sam	194	0	3	1008	2	1736	0	3	1122	2	0.39364	0	0.003	0.996	0.002
34.trim.bt2.sam	132	0	0	117	0	523	0	0	118	0	0.18409	0	0	1	0
36.trim.bt2.sam	97	0	0	58	0	272	0	0	59	0	0.17825	0	0	1	0
37.trim.bt2.sam	160	0	0	694	0	1132	0	0	768	0	0.40421	0	0	1	0
38.trim.bt2.sam	193	0	2	5017	2	1677	0	5	7752	5	0.82233	0	0.001	0.999	0.001
39.trim.bt2.sam	144	0	1	407	0	1087	0	1	426	0	0.28203	0	0.002	0.998	0
4.trim.bt2.sam	221	0	5	2162	2	3342	0	5	2666	2	0.44439	0	0.002	0.997	0.001
40.trim.bt2.sam	73	0	0	101	0	191	0	0	105	0	0.35473	0	0	1	0
41.trim.bt2.sam	256	0	1	1715	1	5936	0	3	2161	3	0.26743	0	0.001	0.997	0.001
42.trim.bt2.sam	309	0	2	7886	3	9328	0	7	18454	7	0.66441	0	0	0.999	0
44.trim.bt2.sam	215	1	6	2965	2	3860	1	6	4176	3	0.52026	0	0.001	0.998	0.001
45.trim.bt2.sam	231	0	2	2788	1	2939	0	3	3508	1	0.54441	0	0.001	0.999	0
