sample,popdepth,Heterozygosity
184,Upper Keys-Shallow,0.2139
185,Upper Keys-Shallow,0.2278
186,Upper Keys-Shallow,0.2376
187,Upper Keys-Mesophotic,0.2498
188,Upper Keys-Mesophotic,0.2178
189,Upper Keys-Mesophotic,0.2193
190,Upper Keys-Mesophotic,0.2329
191,Upper Keys-Mesophotic,0.2227
192,Upper Keys-Mesophotic,0.226
193,Upper Keys-Mesophotic,0.2231
194,Upper Keys-Shallow,0.2123
195,Upper Keys-Shallow,0.2495
196,Upper Keys-Shallow,0.2593
198,Upper Keys-Shallow,0.2011
199,Upper Keys-Shallow,0.2068
200,Upper Keys-Shallow,0.3055
201,Upper Keys-Mesophotic,0.3773
202,Upper Keys-Mesophotic,0.2176
205,Upper Keys-Mesophotic,0.3004
208,Upper Keys-Mesophotic,0.2906
209,Upper Keys-Mesophotic,0.3331
211,Upper Keys-Mesophotic,0.3037
212,Upper Keys-Mesophotic,0.2932
214,Upper Keys-Mesophotic,0.3493
216,Upper Keys-Mesophotic,0.2683
217,Upper Keys-Mesophotic,0.2193
218,Upper Keys-Shallow,0.2241
219,Upper Keys-Shallow,0.21
220,Upper Keys-Shallow,0.2098
222,Upper Keys-Shallow,0.2076
224,Upper Keys-Shallow,0.2217
225,Upper Keys-Shallow,0.2217
226,Upper Keys-Shallow,0.2258
227,Upper Keys-Shallow,0.227
228,Upper Keys-Shallow,0.2082
229,Upper Keys-Shallow,0.1737
230,Upper Keys-Shallow,0.2158
231,Upper Keys-Shallow,0.2157
232,Upper Keys-Shallow,0.1815
233,Upper Keys-Shallow,0.2063
234,Upper Keys-Shallow,0.227
235,Upper Keys-Shallow,0.2017
236,Upper Keys-Shallow,0.2278
237,Upper Keys-Shallow,0.2
