sample,pop,depth
176,Upper Keys-Mesophotic,Mesophotic
177,Upper Keys-Mesophotic,Mesophotic
178,Upper Keys-Mesophotic,Mesophotic
179,Upper Keys-Shallow,Shallow
180,Upper Keys-Shallow,Shallow
181,Upper Keys-Shallow,Shallow
182,Upper Keys-Shallow,Shallow
183,Upper Keys-Shallow,Shallow
184,Upper Keys-Shallow,Shallow
185,Upper Keys-Shallow,Shallow
186,Upper Keys-Shallow,Shallow
187,Upper Keys-Mesophotic,Mesophotic
188,Upper Keys-Mesophotic,Mesophotic
189,Upper Keys-Mesophotic,Mesophotic
190,Upper Keys-Mesophotic,Mesophotic
191,Upper Keys-Mesophotic,Mesophotic
192,Upper Keys-Mesophotic,Mesophotic
193,Upper Keys-Mesophotic,Mesophotic
194,Upper Keys-Shallow,Shallow
195,Upper Keys-Shallow,Shallow
196,Upper Keys-Shallow,Shallow
198,Upper Keys-Shallow,Shallow
199,Upper Keys-Shallow,Shallow
200,Upper Keys-Shallow,Shallow
201,Upper Keys-Mesophotic,Mesophotic
202,Upper Keys-Mesophotic,Mesophotic
205,Upper Keys-Mesophotic,Mesophotic
208,Upper Keys-Mesophotic,Mesophotic
209,Upper Keys-Mesophotic,Mesophotic
211,Upper Keys-Mesophotic,Mesophotic
212,Upper Keys-Mesophotic,Mesophotic
214,Upper Keys-Mesophotic,Mesophotic
216,Upper Keys-Mesophotic,Mesophotic
217,Upper Keys-Mesophotic,Mesophotic
218,Upper Keys-Shallow,Shallow
219,Upper Keys-Shallow,Shallow
220,Upper Keys-Shallow,Shallow
222,Upper Keys-Shallow,Shallow
224,Upper Keys-Shallow,Shallow
225,Upper Keys-Shallow,Shallow
226,Upper Keys-Shallow,Shallow
227,Upper Keys-Shallow,Shallow
228,Upper Keys-Shallow,Shallow
229,Upper Keys-Shallow,Shallow
230,Upper Keys-Shallow,Shallow
231,Upper Keys-Shallow,Shallow
232,Upper Keys-Shallow,Shallow
233,Upper Keys-Shallow,Shallow
234,Upper Keys-Shallow,Shallow
235,Upper Keys-Shallow,Shallow
236,Upper Keys-Shallow,Shallow
237,Upper Keys-Shallow,Shallow
