population,lat,lon
TER-North-Mesophotic,24.65211,-83.103095
TER-North-Shallow,24.66019667,-83.07890333
TER-South-Mesophotic,24.49396,-83.09607833
TER-South-Shallow,24.51780833,-83.09790167
Lower Keys-Mesophotic,24.494035,-81.58790833
Lower Keys-Shallow,24.49297,-81.59892667
Upper Keys-Mesophotic,25.217545,-80.19341333
Upper Keys-Shallow,25.22036,-80.20094333
