sample,pop,Symbiodinium,Breviolum,Cladocopium,Durusdinium
115,TER-South-Mesophotic,0.004132231,0.002066116,0.991735537,0.002066116
116,TER-South-Mesophotic,0,0.001180754,0.998130473,0.000688773
117,TER-South-Mesophotic,0,0,1,0
118,TER-South-Shallow,0,0.000462065,0.998891045,0.00064689
119,TER-South-Shallow,0,0.000628536,0.999057197,0.000314268
120,TER-South-Shallow,0,0,1,0
121,TER-South-Shallow,0,0,1,0
122,TER-South-Mesophotic,0,0.000661989,0.99827883,0.001059182
123,TER-South-Mesophotic,0,0,1,0
124,TER-South-Mesophotic,0.000110717,0.000775022,0.998228521,0.00088574
125,TER-South-Mesophotic,0,0.002102313,0.996496146,0.001401542
126,TER-South-Mesophotic,0,0,0.999346405,0.000653595
127,TER-South-Mesophotic,0,0.000669792,0.998660415,0.000669792
128,Lower Keys-Shallow,0,0.000374813,0.999250375,0.000374813
129,Lower Keys-Shallow,0,0.000686813,0.997252747,0.00206044
130,Lower Keys-Shallow,0,0,0.998682477,0.001317523
131,Lower Keys-Shallow,0,0,0.996845426,0.003154574
132,Lower Keys-Shallow,0,0.000440141,0.999119718,0.000440141
133,Lower Keys-Shallow,0,0.000572738,0.999427262,0
134,Lower Keys-Shallow,0,0.000757671,0.998737214,0.000505114
135,Lower Keys-Shallow,0.001528273,0.001528273,0.99643403,0.000509424
136,Lower Keys-Shallow,0,0,0.998027613,0.001972387
137,Lower Keys-Shallow,0.00044484,0.00044484,0.998220641,0.00088968
138,Lower Keys-Shallow,0.000390016,0.000390016,0.998439938,0.000780031
139,Lower Keys-Shallow,0,0,0.999334221,0.000665779
140,Lower Keys-Shallow,0,0.000491385,0.998802248,0.000706367
141,Lower Keys-Shallow,9.75134E-05,0.000195027,0.999024866,0.000682594
142,Lower Keys-Shallow,0.003623188,0,0.992753623,0.003623188
143,Lower Keys-Shallow,0.000507528,0.000592116,0.997969887,0.000930469
144,Lower Keys-Shallow,0.000108413,0.000650477,0.999024284,0.000216826
145,Lower Keys-Shallow,0,0.001332149,0.997779751,0.000888099
146,Lower Keys-Shallow,0,0,0.99864682,0.00135318
147,Lower Keys-Shallow,0,0,1,0
148,Lower Keys-Shallow,0.000210659,0.000631978,0.998630714,0.000526648
149,Lower Keys-Shallow,0,0.00027972,0.998321678,0.001398601
150,Lower Keys-Shallow,0,0.000367141,0.999173933,0.000458926
