sample,popsite,Symbiodinium,Breviolum,Cladocopium,Durusdinium
155,Lower Keys-Shallow,23,83,7638,31
156,Lower Keys-Shallow,113,163,23259,73
157,Lower Keys-Mesophotic,474,596,607702,1021
158,Lower Keys-Mesophotic,179,253,157045,444
159,Lower Keys-Mesophotic,211,310,169090,3507
160,Lower Keys-Mesophotic,151,350,193563,217
161,Lower Keys-Mesophotic,112,186,105951,326
162,Lower Keys-Mesophotic,80,163,93885,164
163,Lower Keys-Mesophotic,28,29,8961,87
164,Lower Keys-Mesophotic,745,1056,1330561,8388
165,Lower Keys-Mesophotic,249,346,334434,525
166,Lower Keys-Mesophotic,137,278,114527,412
167,Lower Keys-Mesophotic,85,157,49646,445
168,Lower Keys-Mesophotic,157,264,108496,299
169,Lower Keys-Mesophotic,88,230,30643,286
170,Lower Keys-Shallow,279,210,36670,3885
171,Upper Keys-Mesophotic,96,272,64077,94
172,Upper Keys-Mesophotic,99,340,64833,174
173,Upper Keys-Mesophotic,104,350,100333,213
174,Upper Keys-Mesophotic,108,396,148689,264
175,Upper Keys-Mesophotic,76,253,41176,278
176,Upper Keys-Mesophotic,216,518,200642,898
177,Upper Keys-Mesophotic,109,322,69547,399
178,Upper Keys-Mesophotic,107,417,113530,307
179,Upper Keys-Shallow,49,110,14478,39
180,Upper Keys-Shallow,283,774,244184,743
181,Upper Keys-Shallow,292,594,247940,979
182,Upper Keys-Shallow,150,364,102954,105
183,Upper Keys-Shallow,252,295,79566,253
184,Upper Keys-Shallow,538,814,556443,738
185,Upper Keys-Shallow,31,244,15808,95
186,Upper Keys-Shallow,129,250,31350,233
187,Upper Keys-Mesophotic,83,193,62313,82
188,Upper Keys-Mesophotic,338,909,286747,1043
189,Upper Keys-Mesophotic,185,376,181755,400
190,Upper Keys-Mesophotic,153,296,138370,562
191,Upper Keys-Mesophotic,289,444,291779,612
192,Upper Keys-Mesophotic,172,367,162770,878
193,Upper Keys-Mesophotic,5,32,6574,7
194,Upper Keys-Shallow,14,39,16556,30
195,Upper Keys-Shallow,49,78,29761,125
196,Upper Keys-Shallow,62,110,43322,54
198,Upper Keys-Shallow,199,463,93395,324
199,Upper Keys-Shallow,17,26,18009,18
200,Upper Keys-Shallow,11,20,2945,9
201,Upper Keys-Mesophotic,3,23,1173,19
202,Upper Keys-Mesophotic,300,465,134767,597
205,Upper Keys-Mesophotic,8,25,1213,139
208,Upper Keys-Mesophotic,14,47,6889,28
209,Upper Keys-Mesophotic,7,30,1650,45
211,Upper Keys-Mesophotic,60,37,4629,126
212,Upper Keys-Mesophotic,15,34,6875,64
214,Upper Keys-Mesophotic,14,29,10815,25
216,Upper Keys-Mesophotic,2,4,638,5
217,Upper Keys-Mesophotic,40,68,16712,27
218,Upper Keys-Shallow,5,16,7680,21
219,Upper Keys-Shallow,32,61,18661,40
220,Upper Keys-Shallow,46,48,25392,47
222,Upper Keys-Shallow,13,137,7571,14
224,Upper Keys-Shallow,124,247,98496,213
225,Upper Keys-Shallow,94,196,92739,110
226,Upper Keys-Shallow,25,36,23779,43
227,Upper Keys-Shallow,92,126,38836,173
228,Upper Keys-Shallow,69,124,37082,65
229,Upper Keys-Shallow,46,102,39711,93
230,Upper Keys-Shallow,73,113,53157,91
231,Upper Keys-Shallow,97,94,61811,143
232,Upper Keys-Shallow,57,142,61087,141
233,Upper Keys-Shallow,41,173,24038,106
234,Upper Keys-Shallow,137,467,117904,161
235,Upper Keys-Shallow,235,331,210519,426
236,Upper Keys-Shallow,138,236,104782,238
237,Upper Keys-Shallow,175,225,120460,107
