sample,pop,cluster1,cluster2,cluster3,cluster4
94,TER-South-Shallow,0.000688371,0.199295139,0.495030254,0.304986236
95,TER-South-Shallow,0.013338455,0.076413666,0.795742518,0.11450536
96,TER-South-Shallow,2.03E-09,0.123706117,0.697151695,0.179142186
97,TER-South-Shallow,1.00E-09,0.99646607,0.003533928,1.00E-09
98,TER-South-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
99,TER-South-Shallow,1.00E-09,0.031803487,0.968196511,1.00E-09
100,TER-South-Shallow,1.00E-09,0.14658696,0.723281973,0.130131066
101,TER-South-Shallow,1.00E-09,0.006315161,0.993684837,1.00E-09
102,TER-South-Shallow,1.00E-09,0.576445734,0.374385023,0.049169242
103,TER-South-Shallow,0.038719323,0.155570457,0.634338796,0.171371424
104,TER-South-Shallow,1.00E-09,0.928030356,0.071969642,1.00E-09
105,TER-South-Shallow,0.006303531,0.142094485,0.681840323,0.169761661
106,TER-South-Shallow,1.00E-09,0.046270323,0.953729675,1.00E-09
107,TER-South-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
108,TER-South-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
109,TER-South-Mesophotic,0.023568336,1.00E-09,1.00E-09,0.976431662
110,TER-South-Mesophotic,0.030390581,1.00E-09,1.00E-09,0.969609417
111,TER-South-Mesophotic,0.043229903,0.94512347,0.011646621,6.27E-09
112,TER-South-Mesophotic,0.052419909,0.003527234,0.018947515,0.925105343
113,TER-South-Mesophotic,0.001080686,1.00E-09,1.00E-09,0.998919312
114,TER-South-Mesophotic,0.115956636,0.864313089,0.019730273,1.00E-09
115,TER-South-Mesophotic,0.114250382,2.57E-09,0.130294037,0.755455578
116,TER-South-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
117,TER-South-Mesophotic,0.115673848,0.818402805,0.014695442,0.051227905
118,TER-South-Shallow,1.00E-09,0.073549877,0.926450121,1.00E-09
119,TER-South-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
120,TER-South-Shallow,0.000000001,0.194057848,0.660825986,0.145116165
121,TER-South-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
122,TER-South-Mesophotic,0.000129629,1.00E-09,1.00E-09,0.999870369
123,TER-South-Mesophotic,0.045389882,0.174162054,0.000149042,0.780299022
124,TER-South-Mesophotic,0.041837287,1.00E-09,1.00E-09,0.958162711
125,TER-South-Mesophotic,0.077181476,1.00E-09,1.00E-09,0.922818522
126,TER-South-Mesophotic,0.066201176,1.00E-09,1.11E-08,0.933798812
127,TER-South-Mesophotic,0.084672916,1.00E-09,1.00E-09,0.915327082
128,Lower Keys-Shallow,1.00E-09,0.015639836,0.984360162,1.00E-09
129,Lower Keys-Shallow,0.001344814,0.183745256,0.663815742,0.151094188
130,Lower Keys-Shallow,1.00E-09,0.010194051,0.989805947,1.00E-09
131,Lower Keys-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
132,Lower Keys-Shallow,0.000000001,0.162643628,0.717325306,0.120031065
133,Lower Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
134,Lower Keys-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
